present_time Collisions Collision_rate
748.000000 529 0.707219
749.000000 529 0.706275
750.000000 529 0.705333
751.000000 529 0.704394
752.000000 529 0.703457
753.000000 529 0.702523
754.000000 529 0.701592
755.000000 529 0.700662
756.000000 530 0.701058
757.000000 530 0.700132
758.000000 530 0.699208
759.000000 530 0.698287
760.000000 531 0.698684
761.000000 532 0.69908
762.000000 533 0.699475
763.000000 534 0.699869
764.000000 535 0.700262
765.000000 536 0.700654
766.000000 536 0.699739
767.000000 538 0.701434
768.000000 539 0.701823
769.000000 539 0.70091
770.000000 539 0.7
771.000000 539 0.699092
772.000000 539 0.698187
773.000000 539 0.697283
774.000000 540 0.697674
775.000000 541 0.698065
776.000000 542 0.698454
777.000000 543 0.698842
778.000000 544 0.699229
779.000000 544 0.698331
780.000000 545 0.698718
781.000000 546 0.699104
782.000000 547 0.699488
783.000000 547 0.698595
784.000000 547 0.697704
785.000000 547 0.696815
786.000000 547 0.695929
787.000000 547 0.695044
788.000000 550 0.69797
789.000000 552 0.69962
790.000000 554 0.701266
791.000000 554 0.700379
792.000000 554 0.699495
793.000000 555 0.699874
794.000000 556 0.700252
795.000000 557 0.700629
796.000000 558 0.701005
797.000000 559 0.70138
798.000000 561 0.703008
799.000000 562 0.703379
800.000000 563 0.70375
801.000000 565 0.705368
802.000000 566 0.705736
803.000000 567 0.706102
804.000000 568 0.706468
805.000000 569 0.706832
806.000000 572 0.709677
807.000000 574 0.711276
808.000000 575 0.711634
809.000000 576 0.71199
810.000000 578 0.71358
811.000000 579 0.713933
812.000000 580 0.714286
813.000000 581 0.714637
814.000000 583 0.716216
815.000000 584 0.716564
816.000000 584 0.715686
817.000000 584 0.71481
818.000000 585 0.715159
819.000000 585 0.714286
820.000000 585 0.713415
821.000000 585 0.712546
822.000000 585 0.711679
823.000000 586 0.712029
824.000000 587 0.712379
825.000000 588 0.712727
826.000000 588 0.711864
827.000000 588 0.711004
828.000000 588 0.710145
829.000000 588 0.709288
830.000000 588 0.708434
831.000000 589 0.708785
832.000000 590 0.709135
833.000000 591 0.709484
834.000000 593 0.711031
835.000000 595 0.712575
836.000000 596 0.712919
837.000000 598 0.714456
838.000000 599 0.714797
839.000000 600 0.715137
840.000000 601 0.715476
841.000000 602 0.715815
842.000000 603 0.716152
843.000000 604 0.716489
844.000000 604 0.71564
845.000000 604 0.714793
846.000000 605 0.71513
847.000000 605 0.714286
848.000000 605 0.713443
849.000000 607 0.714959
850.000000 607 0.714118
851.000000 608 0.714454
852.000000 610 0.715962
853.000000 610 0.715123
854.000000 610 0.714286
855.000000 611 0.71462
856.000000 611 0.713785
857.000000 611 0.712952
858.000000 613 0.714452
859.000000 614 0.714785
860.000000 615 0.715116
861.000000 616 0.715447
862.000000 617 0.715777
863.000000 620 0.718424
864.000000 621 0.71875
865.000000 622 0.719075
866.000000 623 0.7194
867.000000 625 0.720877
868.000000 626 0.721198
869.000000 626 0.720368
870.000000 626 0.71954
871.000000 626 0.718714
872.000000 626 0.71789
873.000000 626 0.717068
874.000000 626 0.716247
875.000000 627 0.716571
876.000000 627 0.715753
877.000000 627 0.714937
878.000000 628 0.715262
879.000000 628 0.714448
880.000000 628 0.713636
881.000000 628 0.712826
882.000000 628 0.712018
883.000000 628 0.711212
884.000000 628 0.710407
885.000000 629 0.710734
886.000000 630 0.711061
887.000000 631 0.711387
888.000000 632 0.711712
889.000000 632 0.710911
890.000000 632 0.710112
891.000000 632 0.709315
892.000000 632 0.70852
893.000000 632 0.707727
894.000000 632 0.706935
895.000000 632 0.706145
896.000000 632 0.705357
897.000000 632 0.704571
898.000000 632 0.703786
899.000000 632 0.703003
900.000000 632 0.702222
901.000000 632 0.701443
902.000000 632 0.700665
903.000000 632 0.699889
904.000000 632 0.699115
905.000000 632 0.698343
906.000000 632 0.697572
907.000000 632 0.696803
908.000000 633 0.697137
909.000000 634 0.69747
910.000000 635 0.697802
911.000000 636 0.698134
912.000000 638 0.699561
913.000000 638 0.698795
914.000000 638 0.698031
915.000000 638 0.697268
916.000000 638 0.696507
917.000000 640 0.697928
918.000000 640 0.697168
919.000000 642 0.698585
920.000000 642 0.697826
921.000000 644 0.69924
922.000000 645 0.699566
923.000000 646 0.699892
924.000000 647 0.700216
925.000000 648 0.700541
926.000000 649 0.700864
927.000000 650 0.701187
928.000000 651 0.701509
929.000000 652 0.70183
930.000000 653 0.702151
931.000000 654 0.70247
932.000000 655 0.70279
933.000000 656 0.703108
934.000000 658 0.704497
935.000000 661 0.706952
936.000000 662 0.707265
937.000000 662 0.70651
938.000000 663 0.706823
939.000000 664 0.707135
940.000000 665 0.707447
941.000000 666 0.707758
942.000000 666 0.707006
943.000000 666 0.706257
944.000000 666 0.705508
945.000000 667 0.70582
946.000000 668 0.706131
947.000000 668 0.705385
948.000000 668 0.704641
949.000000 668 0.703899
950.000000 668 0.703158
951.000000 668 0.702419
952.000000 668 0.701681
953.000000 668 0.700944
954.000000 669 0.701258
955.000000 670 0.701571
956.000000 670 0.700837
957.000000 671 0.701149
958.000000 672 0.701461
959.000000 672 0.70073
960.000000 672 0.7
961.000000 674 0.701353
962.000000 675 0.701663
