present_time MissedSells MissedSells_rate
72.841178 12 0.170291
72.844048 12 0.170291
72.856061 12 0.170291
72.885768 12 0.170291
72.900000 12 0.170291
72.928704 12 0.170291
72.941178 12 0.170291
72.944048 12 0.170291
72.956061 12 0.170291
72.972785 12 0.170291
72.985768 12 0.170291
73.000000 12 0.170291
73.028704 12 0.170291
73.041178 12 0.170291
73.044048 12 0.170291
73.056061 12 0.170291
73.085768 12 0.170291
73.128704 12 0.170291
73.141178 12 0.170291
73.144048 12 0.170291
73.156061 12 0.170291
73.185768 12 0.170291
73.200000 12 0.170291
73.228704 12 0.170291
73.241178 12 0.170291
73.244048 12 0.170291
73.256061 12 0.170291
73.285768 12 0.170291
73.328704 12 0.170291
73.341178 12 0.170291
73.344048 12 0.170291
73.356061 12 0.170291
73.385768 12 0.170291
73.400000 12 0.170291
73.428704 12 0.170291
73.441178 12 0.170291
73.444048 12 0.170291
73.456061 12 0.170291
73.485768 12 0.170291
73.528704 12 0.170291
73.541178 12 0.170291
73.544048 12 0.170291
73.556061 12 0.170291
73.585768 12 0.170291
73.600000 12 0.170291
73.628704 12 0.170291
73.641178 12 0.170291
73.644048 12 0.170291
73.656061 12 0.170291
73.685768 12 0.170291
73.728704 12 0.170291
73.741178 12 0.170291
73.744048 12 0.170291
73.756061 12 0.170291
73.785768 12 0.170291
73.800000 12 0.170291
73.828704 12 0.170291
73.841178 12 0.170291
73.844048 12 0.170291
73.856061 12 0.170291
73.885768 12 0.170291
73.928704 12 0.170291
73.941178 12 0.170291
73.944048 12 0.170291
73.956061 12 0.170291
73.985768 12 0.170291
74.000000 12 0.170291
74.028704 12 0.170291
74.041178 12 0.170291
74.044048 12 0.170291
74.056061 12 0.170291
74.085768 12 0.170291
74.128704 12 0.170291
74.141178 12 0.170291
74.144048 12 0.170291
74.156061 12 0.170291
74.185768 12 0.170291
74.200000 12 0.170291
74.228704 12 0.170291
74.241178 12 0.170291
74.244048 12 0.170291
74.256061 12 0.170291
74.285768 12 0.170291
74.328704 12 0.170291
74.341178 12 0.170291
74.344048 12 0.170291
74.356061 12 0.170291
74.385768 12 0.170291
74.400000 12 0.170291
74.428704 12 0.170291
74.441178 12 0.170291
74.444048 12 0.170291
74.456061 12 0.170291
74.485768 12 0.170291
74.528704 12 0.170291
74.541178 12 0.170291
74.544048 12 0.170291
74.556061 12 0.170291
74.585768 12 0.170291
74.600000 12 0.170291
74.628704 12 0.170291
74.641178 12 0.170291
74.644048 12 0.170291
74.656061 12 0.170291
74.685768 12 0.170291
74.728704 12 0.170291
74.741178 12 0.170291
74.744048 12 0.170291
74.756061 12 0.170291
74.785768 12 0.170291
74.800000 12 0.170291
74.828704 12 0.170291
74.841178 12 0.170291
74.844048 12 0.170291
74.856061 12 0.170291
74.885768 12 0.170291
74.928704 12 0.170291
74.941178 12 0.170291
74.944048 12 0.170291
74.956061 12 0.170291
74.985768 12 0.170291
75.000000 12 0.170291
75.028704 12 0.170291
75.041178 12 0.170291
75.044048 12 0.170291
75.056061 12 0.170291
75.085768 12 0.170291
75.128704 12 0.170291
75.141178 12 0.170291
75.144048 12 0.170291
75.156061 12 0.170291
75.185768 12 0.170291
75.200000 12 0.170291
75.228704 12 0.170291
75.241178 12 0.170291
75.244048 12 0.170291
75.256061 12 0.170291
75.285768 12 0.170291
75.328704 12 0.170291
75.341178 12 0.170291
75.344048 12 0.170291
75.356061 12 0.170291
75.385768 12 0.170291
75.400000 12 0.170291
75.428704 12 0.170291
75.441178 12 0.170291
75.444048 12 0.170291
75.456061 12 0.170291
75.485768 12 0.170291
75.528704 12 0.170291
75.541178 12 0.170291
75.544048 12 0.170291
75.556061 12 0.170291
75.585768 12 0.170291
75.600000 12 0.170291
75.628704 12 0.170291
75.641178 12 0.170291
75.644048 12 0.170291
75.656061 12 0.170291
75.685768 12 0.170291
75.728704 12 0.170291
75.741178 12 0.170291
75.744048 12 0.170291
75.756061 12 0.170291
75.785768 12 0.170291
75.800000 12 0.170291
75.828704 12 0.170291
75.841178 12 0.170291
75.844048 12 0.170291
75.856061 12 0.170291
75.885768 12 0.170291
75.928704 12 0.170291
75.941178 12 0.170291
75.944048 12 0.170291
75.956061 12 0.170291
75.985768 12 0.170291
76.000000 12 0.170291
76.028704 12 0.170291
76.041178 12 0.170291
76.044048 12 0.170291
76.056061 12 0.170291
76.085768 12 0.170291
76.128704 12 0.170291
76.141178 12 0.170291
76.144048 12 0.170291
76.156061 12 0.170291
76.185768 12 0.170291
76.200000 12 0.170291
76.228704 12 0.170291
76.241178 12 0.170291
76.244048 12 0.170291
76.256061 12 0.170291
76.285768 12 0.170291
76.328704 12 0.170291
76.341178 12 0.170291
76.344048 12 0.170291
76.356061 12 0.170291
76.385768 12 0.170291
76.400000 12 0.170291
76.428704 12 0.170291
76.441178 12 0.170291
76.444048 12 0.170291
76.456061 12 0.170291
76.485768 12 0.170291
76.528704 12 0.170291
76.541178 12 0.170291
76.544048 12 0.170291
76.556061 12 0.170291
76.585768 12 0.170291
76.600000 12 0.170291
76.628704 12 0.170291
76.641178 12 0.170291
76.644048 12 0.170291
76.656061 12 0.170291
76.685768 12 0.170291
76.728704 12 0.170291
76.741178 12 0.170291
76.744048 12 0.170291
76.756061 12 0.170291
76.785768 12 0.170291
76.800000 12 0.170291
76.828704 12 0.170291
76.841178 12 0.170291
76.844048 12 0.170291
76.856061 12 0.170291
76.885768 12 0.170291
76.928704 12 0.170291
76.941178 12 0.170291
76.944048 12 0.170291
76.956061 12 0.170291
76.985768 12 0.170291
77.000000 12 0.170291
77.028704 12 0.170291
77.041178 12 0.170291
77.044048 12 0.170291
77.056061 12 0.170291
77.085768 12 0.170291
77.128704 12 0.170291
77.141178 12 0.170291
77.144048 12 0.170291
77.156061 12 0.170291
77.185768 12 0.170291
77.200000 12 0.170291
77.228704 12 0.170291
77.241178 12 0.170291
77.244048 12 0.170291
77.256061 12 0.170291
77.285768 12 0.170291
77.300000 12 0.170291
77.328704 12 0.170291
77.341178 12 0.170291
77.344048 12 0.170291
77.356061 12 0.170291
77.385768 12 0.170291
77.400000 12 0.170291
77.428704 12 0.170291
77.441178 12 0.170291
77.444048 12 0.170291
77.456061 12 0.170291
77.485768 12 0.170291
77.500000 12 0.170291
77.528704 12 0.170291
77.541178 12 0.170291
77.544048 12 0.170291
77.556061 12 0.170291
77.585768 12 0.170291
77.600000 12 0.170291
77.628704 12 0.170291
77.640137 12 0.170291
77.641178 12 0.170291
77.644048 12 0.170291
77.656061 12 0.170291
77.685768 12 0.170291
77.728704 12 0.170291
77.741178 12 0.170291
77.744048 12 0.170291
